Packet,Number,Value,Answerline,Source,Answerline_Type,Source_Type,Source_Year,Creator,Author,Difficulty,Continent,Location,Language,Art/Pop,Genre,Decade,Notes
2,7,10,,Faust,,,1926,,,,,,,,,,
2,7,10,,Faust,,,1926,,,,,,,,,,
2,7,10,,Faust,,,1926,,,,,,,,,,
2,8,20,Kazuo Ishiguro [or Ishiguro Kazuo],Never Let Me Go,Figure,,,,AP,2,North America,USA,English,Pop,Mixed,1990s,
2,8,15,,Never Let Me Go,,,,,,,,,,,,,
2,8,15,,The Remains of the Day,,,,,,,,,,,,,
2,8,15,,Never Let Me Go,,,,,,,,,,,,,
2,8,10,,The Remains of the Day,,,,,,,,,,,,,
2,8,10,,Never Let Me Go,,,,,,,,,,,,,
2,8,10,,Never Let Me Go,,,,,,,,,,,,,
2,8,10,,The Remains of the Day,,,,,,,,,,,,,
2,9,20,wild [or Something Wild; or Wild at Heart],Something Wild,Misc,,,,AP,3,North America,USA,English,Art,Drama,Mixed,
2,9,15,,Something Wild,,,,,,,,,,,,,
2,9,15,,Wild at Heart,,,,,,,,,,,,,
2,9,15,,Something Wild,,,,,,,,,,,,,
2,9,10,,Something Wild,,,,,,,,,,,,,
2,9,10,,Wild at Heart,,,,,,,,,,,,,
2,9,10,,Wild at Heart,,,,,,,,,,,,,
2,9,10,,Wild at Heart,,,,,,,,,,,,,
2,10,20,Takeshi Kitano [or Beat Takeshi; prompt on Takeshi],Sonatine,Director,,,,AP,4,Asia,Japan,Japanese,Art,Mixed,Mixed,
2,10,15,,Takeshi's Challenge,,Video Game,,,,,,,,,,,
2,10,15,,Hana-bi,,,,,,,,,,,,,
2,10,15,,Sonatine,,,,,,,,,,,,,
2,10,15,,Hana-bi,,,,,,,,,,,,,
2,10,10,,Hana-bi,,,,,,,,,,,,,
2,10,10,,Kikujiro,,,,,,,,,,,,,
2,10,10,,Hana-bi,,,,,,,,,,,,,
3,1,20,El Mariachi,,Film,,,,AP,3.5,North America,USA,English,Pop,Mixed,2000s,
3,1,20,,,,,,,,,,,,,,,
3,1,15,,,,,,,,,,,,,,,
3,1,15,,,,,,,,,,,,,,,
3,1,15,,,,,,,,,,,,,,,
3,1,10,,,,,,,,,,,,,,,
3,1,10,,,,,,,,,,,,,,,
3,1,10,,,,,,,,,,,,,,,
3,2,20,British Pakistanis [or Pakistanis in Great Britain; or Pakistanis in the United Kingdom; or Pakistanis in England; accept British Muslims],My Beautiful Laundrette,Misc,,,,AP,3.5,Europe,England,English,Mixed,Mixed,Mixed,
3,2,15,,Four Lions,,,,,,,,,,,,,
3,2,15,,Four Lions,,,,,,,,,,,,,
3,2,15,,Four Lions,,,,,,,,,,,,,
3,2,10,,My Beautiful Laundrette,,,,,,,,,,,,,
3,2,10,,Four Lions,,,,,,,,,,,,,
3,2,10,,Four Lions,,,,,,,,,,,,,
3,2,10,,Four Lions,,,,,,,,,,,,,
3,3,20,Emma,Clueless,Misc,,,,AP,2,North America,USA,English,Pop,Comedy,Mixed,
3,3,15,,Clueless,,,,,,,,,,,,,
3,3,15,,Emma,,,2020,,,,,,,,,,
3,3,15,,Clueless,,,,,,,,,,,,,
3,3,10,,Emma,,,2020,,,,,,,,,,
3,3,10,,Clueless,,,,,,,,,,,,,
3,3,10,,Emma,,,2020,,,,,,,,,,
3,3,10,,Clueless,,,,,,,,,,,,,
3,4,20,Roman Holiday,,Film,,,,AP,2.5,North America,USA,English,Art,Mixed,1950s,
3,4,15,,,,,,,,,,,,,,,
3,4,15,,,,,,,,,,,,,,,
3,4,15,,,,,,,,,,,,,,,
3,4,10,,,,,,,,,,,,,,,
3,4,10,,,,,,,,,,,,,,,
3,4,10,,,,,,,,,,,,,,,
3,4,10,,,,,,,,,,,,,,,
3,5,20,Guy Ritchie [or Guy Stuart Ritchie],"Lock, Stock and Two Smoking Barrels",Director,,,,AP,2.5,Europe,England,English,Pop,Action,1990s,
3,5,15,,Snatch,,,,,,,,,,,,,
3,5,15,,"Lock, Stock and Two Smoking Barrels",,,,,,,,,,,,,
3,5,15,,Snatch,,,,,,,,,,,,,
3,5,10,,"Lock, Stock and Two Smoking Barrels",,,,,,,,,,,,,
3,5,10,,Snatch,,,,,,,,,,,,,
3,5,10,,Snatch,,,,,,,,,,,,,
3,5,10,,Snatch,,,,,,,,,,,,,
3,6,20,Cape Fear,,Film,,,,AP,3,North America,USA,English,Pop,Drama,1990s,
3,6,15,,,,,,,,,,,,,,,
3,6,15,,,,,,,,,,,,,,,
3,6,15,,,,,,,,,,,,,,,
3,6,10,,,,,,,,,,,,,,,
3,6,10,,,,,,,,,,,,,,,
3,6,10,,,,,,,,,,,,,,,
3,6,10,,,,,,,,,,,,,,,
3,7,20,Wall Street,,Film,,,,AP,2,North America,USA,English,Pop,Drama,1980s,
3,7,15,,,,,,,,,,,,,,,
3,7,15,,,,,,,,,,,,,,,
3,7,15,,,,,,,,,,,,,,,
3,7,10,,,,,,,,,,,,,,,
3,7,10,,,,,,,,,,,,,,,
3,7,10,,,,,,,,,,,,,,,
3,7,10,,,,,,,,,,,,,,,
3,8,20,A Serious Man,,Film,,,,AP,3,North America,USA,English,Art,Drama,2000s,
3,8,15,,,,,,,,,,,,,,,
3,8,15,,,,,,,,,,,,,,,
3,8,15,,,,,,,,,,,,,,,
3,8,10,,,,,,,,,,,,,,,
3,8,10,,,,,,,,,,,,,,,
3,8,10,,,,,,,,,,,,,,,
3,8,10,,,,,,,,,,,,,,,
3,9,20,Polish [or polski; or język polski; or polszczyzna],Ida,Language,,,,AP,4.5,Europe,Poland,Polish,Art,Drama,Mixed,
3,9,15,,Cold War,,,2018,,,,,,,,,,
3,9,15,,Cold War,,,2019,,,,,,,,,,
3,9,15,,Ida,,,,,,,,,,,,,
3,9,15,,Ida,,,,,,,,,,,,,
3,9,10,,Cold War,,,2018,,,,,,,,,,
3,9,10,,Ida,,,,,,,,,,,,,
3,9,10,,Cold War,,,2018,,,,,,,,,,
3,10,20,12 Years a Slave,,Film,,,,AP,2.5,Europe,England,English,Art,Drama,2010s,
3,10,15,,,,,,,,,,,,,,,
3,10,15,,,,,,,,,,,,,,,
3,10,15,,,,,,,,,,,,,,,
3,10,10,,,,,,,,,,,,,,,
3,10,10,,,,,,,,,,,,,,,
3,10,10,,,,,,,,,,,,,,,
3,10,10,,,,,,,,,,,,,,,
4,1,20,Chantal Akerman [or Chantal Anne Akerman],Portrait of a Young Girl at the End of the 60s in Brussels,Director,,,,AP,4,Europe,Belgium,Dutch,Art,Drama,Mixed,
4,1,15,,The Meetings of Anna,,,,,,,,,,,,,
4,1,15,,Je Tu Il Elle,,,,,,,,,,,,,
4,1,15,,News from Home,,,,,,,,,,,,,
4,1,10,,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",,,,,,,,,,,,,
4,1,10,,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",,,,,,,,,,,,,
4,1,10,,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",,,,,,,,,,,,,
4,1,10,,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",,,,,,,,,,,,,
4,2,20,documentaries,Titicut Follies,Misc,,,,AP,4.5,North America,USA,English,Art,Documentary,Mixed,
4,2,15,,Titicut Follies,,,,,,,,,,,,,
4,2,15,,Grey Gardens,,,1975,,,,,,,,,,
4,2,15,,Grey Gardens,,,1975,,,,,,,,,,
4,2,10,,Grey Gardens,,,1975,,,,,,,,,,
4,2,10,,Salesman,,,,,,,,,,,,,
4,2,10,,Titicut Follies,,,,,,,,,,,,,
4,2,10,,Grey Gardens,,,1975,,,,,,,,,,
4,3,20,My Darling Clementine,,Film,,,,AP,4,North America,USA,English,Art,Drama,1940s,
4,3,15,,,,,,,,,,,,,,,
4,3,15,,,,,,,,,,,,,,,
4,3,15,,,,,,,,,,,,,,,
4,3,15,,,,,,,,,,,,,,,
4,3,10,,,,,,,,,,,,,,,
4,3,10,,,,,,,,,,,,,,,
4,3,10,,,,,,,,,,,,,,,
4,4,20,Indonesia [or Republic of Indonesia; or Republik Indonesia],The Act of Killing,Misc,,,,AP,4,Mixed,Mixed,Mixed,Art,Mixed,2010s,
4,4,15,,The Act of Killing,,,,,,,,,,,,,
4,4,15,,The Act of Killing,,,,,,,,,,,,,
4,4,15,,The Act of Killing,,,,,,,,,,,,,
4,4,10,,The Act of Killing,,,,,,,,,,,,,
4,4,10,,The Raid,,,,,,,,,,,,,
4,4,10,,The Act of Killing,,,,,,,,,,,,,
4,4,10,,The Raid,,,,,,,,,,,,,
4,5,20,Fallen Angels [or Duòluò tiānshǐ],,Film,,,,AP,4,Asia,Hong Kong,Cantonese,Art,Drama,1990s,
4,5,15,,,,,,,,,,,,,,,
4,5,15,,,,,,,,,,,,,,,
4,5,15,,,,,,,,,,,,,,,
4,5,10,,,,,,,,,,,,,,,
4,5,10,,,,,,,,,,,,,,,
4,5,10,,,,,,,,,,,,,,,
4,5,10,,,,,,,,,,,,,,,
4,6,20,The Royal Tenenbaums,,Film,,,,AP,2,North America,USA,English,Art,Drama,2000s,
4,6,15,,,,,,,,,,,,,,,
4,6,15,,,,,,,,,,,,,,,
4,6,15,,,,,,,,,,,,,,,
4,6,10,,,,,,,,,,,,,,,
4,6,10,,,,,,,,,,,,,,,
4,6,10,,,,,,,,,,,,,,,
4,6,10,,,,,,,,,,,,,,,
4,7,20,Clive Barker,Nightbreed,Crew,,,,AP,3.5,Europe,England,English,Pop,Horror,Mixed,
4,7,15,,Hellraiser,,,,,,,,,,,,,
4,7,15,,Hellraiser,,,,,,,,,,,,,
4,7,15,,Hellraiser,,,,,,,,,,,,,
4,7,10,,Candyman,,,1992,,,,,,,,,,
4,7,10,,Candyman,,,1992,,,,,,,,,,
4,7,10,,Candyman,,,1992,,,,,,,,,,
4,7,10,,Hellraiser,,,,,,,,,,,,,
4,8,20,"L'Avventura (""lah-ven-TOO-rah"")",L'Avventura,Film,,,,AP,3.5,Europe,Italy,Italian,Art,Drama,1960s,
4,8,15,,,,,,,,,,,,,,,
4,8,15,,,,,,,,,,,,,,,
4,8,15,,,,,,,,,,,,,,,
4,8,10,,,,,,,,,,,,,,,
4,8,10,,,,,,,,,,,,,,,
4,8,10,,,,,,,,,,,,,,,
4,8,10,,,,,,,,,,,,,,,
4,9,20,A Matter of Life and Death,,Film,,,,AP,3.5,Europe,England,English,Art,Drama,1940s,
4,9,15,,,,,,,,,,,,,,,
4,9,15,,,,,,,,,,,,,,,
4,9,15,,,,,,,,,,,,,,,
4,9,10,,,,,,,,,,,,,,,
4,9,10,,,,,,,,,,,,,,,
4,9,10,,,,,,,,,,,,,,,
4,9,10,,,,,,,,,,,,,,,
4,10,20,Norway [or Norge; or Noreg; or Kingdom of Norway; or Kongeriket Norge; or Kongeriket Noreg],"Oslo, August 31st",Location,,,,AP,2.5,Europe,Norway,Norwegian,Mixed,Mixed,2000s,
4,10,15,,The Pinchcliffe Grand Prix,,,,,,,,,,,,,
4,10,15,,The Worst Person in the World,,,,,,,,,,,,,
4,10,15,,The Worst Person in the World,,,,,,,,,,,,,
4,10,10,,Headhunters,,,2011,,,,,,,,,,
4,10,10,,The Worst Person in the World,,,,,,,,,,,,,
4,10,10,,"Oslo, August 31st",,,,,,,,,,,,,
4,10,10,,The Worst Person in the World,,,,,,,,,,,,,
5,1,20,Farewell My Concubine [or Bà Wáng Bié Jī],,Film,,,,AP,4,Asia,China,Mandarin,Art,Drama,1990s,
5,1,15,,,,,,,,,,,,,,,
5,1,15,,,,,,,,,,,,,,,
5,1,15,,,,,,,,,,,,,,,
5,1,10,,,,,,,,,,,,,,,
5,1,10,,,,,,,,,,,,,,,
5,1,10,,,,,,,,,,,,,,,
5,1,10,,,,,,,,,,,,,,,
5,2,20,dragon [or Enter the Dragon; or The Way of the Dragon],Enter the Dragon,Misc,,,,AP,2,North America,USA,English,Pop,Action,1970s,
5,2,15,,Enter the Dragon,,,,,,,,,,,,,
5,2,15,,The Way of the Dragon,,,,,,,,,,,,,
5,2,15,,Enter the Dragon,,,,,,,,,,,,,
5,2,10,,Enter the Dragon,,,,,,,,,,,,,
5,2,10,,Enter the Dragon,,,,,,,,,,,,,
5,2,10,,The Way of the Dragon,,,,,,,,,,,,,
5,2,10,,Enter the Dragon,,,,,,,,,,,,,
5,3,20,Mads Mikkelsen [or Mads Dittmann Mikkelsen],The Hunt,Crew,,,Thomas Vinterberg,AP,3,Europe,Denmark,Danish,Art,Drama,2010s,
5,3,15,,The Hunt,,,,Thomas Vinterberg,,,,,,,,,
5,3,15,,Another Round,,,,Thomas Vinterberg,,,,,,,,,
5,3,15,,Another Round,,,,Thomas Vinterberg,,,,,,,,,
5,3,10,,The Hunt,,,,Thomas Vinterberg,,,,,,,,,
5,3,10,,The Hunt,,,,Thomas Vinterberg,,,,,,,,,
5,3,10,,Another Round,,,,Thomas Vinterberg,,,,,,,,,
5,3,10,,Another Round,,,,Thomas Vinterberg,,,,,,,,,
5,4,20,Park Chan-wook [or Chan-wook Park],Lady Vengeance,Director,,,,AP,3,Asia,South Korea,Korean,Art,Action,2000s,
5,4,15,,Sympathy for Mr. Vengeance,,,,,,,,,,,,,
5,4,15,,Lady Vengeance,,,,,,,,,,,,,
5,4,15,,Sympathy for Mr. Vengeance,,,,,,,,,,,,,
5,4,10,,Lady Vengeance,,,,,,,,,,,,,
5,4,10,,Lady Vengeance,,,,,,,,,,,,,
5,4,10,,Sympathy for Mr. Vengeance,,,,,,,,,,,,,
5,4,10,,Lady Vengeance,,,,,,,,,,,,,
5,5,20,Kelly Reichardt,Night Moves,Director,,,,AP,4,North America,USA,English,Art,Drama,2000s,
5,5,15,,Wendy and Lucy,,,,,,,,,,,,,
5,5,15,,First Cow,,,,,,,,,,,,,
5,5,15,,Wendy and Lucy,,,,,,,,,,,,,
5,5,10,,Old Joy,,,,,,,,,,,,,
5,5,10,,Certain Women,,,,,,,,,,,,,
5,5,10,,Wendy and Lucy,,,,,,,,,,,,,
5,5,10,,First Cow,,,,,,,,,,,,,
5,6,20,Possession,,Film,,1983,,AP,3.5,Europe,Mixed,Mixed,Art,Horror,1980s,
5,6,15,,,,,,,,,,,,,,,
5,6,15,,,,,,,,,,,,,,,
5,6,15,,,,,,,,,,,,,,,
5,6,10,,,,,,,,,,,,,,,
5,6,10,,,,,,,,,,,,,,,
5,6,10,,,,,,,,,,,,,,,
5,6,10,,,,,,,,,,,,,,,
5,7,20,Aftersun,,Film,,,,AP,3,Europe,England,English,Art,Drama,2020s,
5,7,15,,,,,,,,,,,,,,,
5,7,15,,,,,,,,,,,,,,,
5,7,15,,,,,,,,,,,,,,,
5,7,10,,,,,,,,,,,,,,,
5,7,10,,,,,,,,,,,,,,,
5,7,10,,,,,,,,,,,,,,,
5,7,10,,,,,,,,,,,,,,,
5,8,20,"Le bonheur (""luh boh-NURR"") [or Happiness]",,Film,,1965,,AP,3.5,Europe,France,French,Art,Drama,1960s,
5,8,15,,,,,,,,,,,,,,,
5,8,15,,,,,,,,,,,,,,,
5,8,15,,,,,,,,,,,,,,,
5,8,15,,,,,,,,,,,,,,,
5,8,10,,,,,,,,,,,,,,,
5,8,10,,,,,,,,,,,,,,,
5,8,10,,,,,,,,,,,,,,,
5,9,20,journalists [or reporters],All the President's Men,Misc,,,,AP,1.5,North America,USA,English,Pop,Drama,Mixed,
5,9,15,,All the President's Men,,,,,,,,,,,,,
5,9,15,,All the President's Men,,,,,,,,,,,,,
5,9,15,,Spotlight,,,,,,,,,,,,,
5,9,10,,All the President's Men,,,,,,,,,,,,,
5,9,10,,All the President's Men,,,,,,,,,,,,,
5,9,10,,Spotlight,,,,,,,,,,,,,
5,9,10,,All the President's Men,,,,,,,,,,,,,
5,10,20,mothers [or Mother India; or Mother!; or Madeo],Mother India,Misc,,,,AP,2.5,Mixed,Mixed,Mixed,Art,Drama,Mixed,
5,10,15,,Mother,,,2010,,,,,,,,,,
5,10,15,,Mother,,,2010,,,,,,,,,,
5,10,15,,Mother,,,2010,,,,,,,,,,
5,10,10,,Mother!,,,2017,,,,,,,,,,
5,10,10,,Mother,,,2010,,,,,,,,,,
5,10,10,,Mother!,,,2017,,,,,,,,,,
5,10,10,,Mother!,,,2017,,,,,,,,,,
6,1,20,Stockholm,The Square,Location,,2017,,AP,4.5,Europe,Sweden,Swedish,Art,Mixed,Mixed,
6,1,15,,The Square,,,2017,,,,,,,,,,
6,1,15,,The Square,,,2017,,,,,,,,,,
6,1,15,,Let the Right One In,,,,,,,,,,,,,
6,1,15,,The Square,,,2017,,,,,,,,,,
6,1,10,,The Square,,,2017,,,,,,,,,,
6,1,10,,Let the Right One In,,,,,,,,,,,,,
6,1,10,,The Square,,,2017,,,,,,,,,,
6,2,20,Beastie Boys,"""Shadrach""",Misc,Music Video,,Adam Yauch,AP,2.5,North America,USA,English,Pop,Mixed,1990s,
6,2,15,,"""Sabotage""",,Music Video,,Spike Jonze,,,,,,,,,
6,2,15,,"""So What'cha Want""",,Music Video,,Adam Yauch,,,,,,,,,
6,2,15,,"""Fight For Your Right, Revisited""",,Music Video,,Adam Yauch,,,,,,,,,
6,2,10,,"""You Gotta Fight For Your Right To Party""",,Music Video,,"Ric Menello, Adam Dubin",,,,,,,,,
6,2,10,,"""Sabotage""",,Music Video,,Spike Jonze,,,,,,,,,
6,2,10,,"""Intergalactic""",,Music Video,,Adam Yauch,,,,,,,,,
6,2,10,,"""Fight For Your Right Revisited""",,Music Video,,Adam Yauch,,,,,,,,,
